id_publication;date_pub;article_title;categorie;nbr_authors
reference/crypt/Vimercati11;2017-07-12;Access Control Policies, Models, and Mechanisms.;incollection;1
reference/crypt/X11fe;2017-07-12;HTTP Basic Authentication.;incollection;0
reference/crypt/Cankaya11;2017-07-12;Access Control from an OS Security Perspective.;incollection;1
reference/crypt/X11fx;2017-07-12;Information Integrity.;incollection;0
reference/crypt/X11fk;2017-07-12;Human Ear Verification.;incollection;0
reference/crypt/Preneel11e;2017-07-12;Correcting-Block Attack.;incollection;1
reference/crypt/Biryukov11k;2017-07-12;Differential-Linear Attack.;incollection;1
reference/crypt/X11kb;2017-07-12;Public-Key Cryptosystem.;incollection;0
reference/crypt/Kaliski05xi;2017-07-12;Sieving.;incollection;1
reference/crypt/Kirda11a;2017-07-12;Malware Behavior Clustering.;incollection;1
reference/crypt/HankersonM11g;2017-07-12;Elliptic Curve Signature Schemes.;incollection;2
reference/crypt/StandaertQ11a;2018-11-24;Time-Memory Trade-offs.;incollection;2
reference/crypt/Tibouchi11;2017-07-12;ISO-9796 Signature Standards.;incollection;1
reference/crypt/Canteaut05f;2017-07-12;Inversion attack.;incollection;1
reference/crypt/Landrock05o;2017-07-12;Proton.;incollection;1
reference/crypt/Kaliski11ak;2017-07-12;Symmetric Cryptosystem.;incollection;1
reference/crypt/Naccache11l;2017-07-12;Standard Model.;incollection;1
reference/crypt/X11dc;2017-07-12;Dynamic Separation of Duties.;incollection;0
reference/crypt/ImaiY05;2017-07-12;Cryptrec.;incollection;2
reference/crypt/Just11a;2017-07-12;Diffie-Hellman Key Agreement.;incollection;1
reference/crypt/Canteaut05j;2017-07-12;Linear Feedback Shift Register.;incollection;1
reference/crypt/X11cm;2017-07-12;Cryptography on Reconfigurable Devices.;incollection;0
reference/crypt/X11hx;2017-07-12;ML-Sequence.;incollection;0
reference/crypt/X11lx;2017-07-12;Side-Channel Leakage.;incollection;0
reference/crypt/Helleseth11g;2017-07-12;Run.;incollection;1
reference/crypt/Bleumer05d;2017-07-12;Chaum Blind Signature Scheme.;incollection;1
reference/crypt/X11hs;2017-07-12;Microdata Disclosure Protection.;incollection;0
reference/crypt/X11hv;2017-07-12;MILS.;incollection;0
reference/crypt/Sako11e;2017-07-12;Public Key Cryptography.;incollection;1
reference/crypt/Samarati11a;2017-07-12;Flexible Authorization Framework (FAF).;incollection;1
reference/crypt/CuppensC11a;2017-07-12;Multilevel Security Policies.;incollection;2
reference/crypt/X11de;2017-07-12;ECC.;incollection;0
reference/crypt/X11ir;2017-07-12;NTRUSign.;incollection;0
reference/crypt/Fontaine11i;2017-07-12;Summation Generator.;incollection;1
reference/crypt/Bauer11c;2017-07-12;CCIT2-Code.;incollection;1
reference/crypt/Upadhyaya11;2017-07-12;Mandatory Access Control.;incollection;1
reference/crypt/FarleyJ05;2017-07-12;Intrusion Detection.;incollection;2
reference/crypt/KatzenbeisserKV11;2017-07-12;Malware Detection.;incollection;3
reference/crypt/Lenstra11a;2017-07-12;Integer Factoring.;incollection;1
reference/crypt/Just11e;2017-07-12;Needham-Schroeder Protocols.;incollection;1
reference/crypt/X11bw;2017-07-12;Conceptual Modeling.;incollection;0
reference/crypt/Zuccherato05b;2017-07-12;Identity Verification Protocol.;incollection;1
reference/crypt/Naccache11a;2017-07-12;Barrett's Algorithm.;incollection;1
reference/crypt/Adams05a;2017-07-12;Authorization architecture.;incollection;1
reference/crypt/Canteaut05d;2017-07-12;Fast Correlation Attack.;incollection;1
reference/crypt/Thome11;2017-07-12;Function Field Sieve.;incollection;1
reference/crypt/X11dt;2017-07-12;Error-Correcting Cyclic Codes.;incollection;0
reference/crypt/Klein11;2017-07-12;Web Cache Poisoning Attacks.;incollection;1
reference/crypt/Meadows11c;2017-07-12;Program Verification and Security.;incollection;1
reference/crypt/Eddy11;2017-07-12;SYN Cookie Defense.;incollection;1
reference/crypt/Canteaut05b;2017-07-12;Combination generator.;incollection;1
reference/crypt/X11cu;2017-07-12;DHP.;incollection;0
reference/crypt/Robshaw11;2017-07-12;One-Way Function.;incollection;1
reference/crypt/Liu11;2017-07-12;Broadcast Authentication from a Conditional Perspective.;incollection;1
reference/crypt/Caddy05a;2017-07-12;Differential Power Analysis.;incollection;1
reference/crypt/Kaliski05a;2017-07-12;Berlekamp ;incollection;1
reference/crypt/Kaliski05f;2017-07-12;Encryption Exponent.;incollection;1
reference/crypt/Vauclair11e;2017-07-12;Vicinity Card.;incollection;1
reference/crypt/X11j;2017-07-12;Algorithmic Complexity Attacks.;incollection;0
reference/crypt/X11fy;2017-07-12;Information Security Management System.;incollection;0
reference/crypt/X11nj;2017-07-12;Tracing Traitors.;incollection;0
reference/crypt/Boneh05e;2017-07-12;Elgamal Digital Signature Scheme.;incollection;1
reference/crypt/X11ef;2017-07-12;Fingerprint Authentication.;incollection;0
reference/crypt/Franklin05;2017-07-12;Mix Networks.;incollection;1
reference/crypt/X11nk;2017-07-12;Tracking Cookie.;incollection;0
reference/crypt/Nair11;2017-07-12;Rootkits.;incollection;1
reference/crypt/VimercatiS11b;2017-07-12;Mandatory Access Control Policy (MAC).;incollection;2
reference/crypt/Preneel11l;2017-07-12;MASH Hash Functions (Modular Arithmetic Secure Hash).;incollection;1
reference/crypt/Opyrchal05;2017-07-12;Web Security.;incollection;1
reference/crypt/Solinas05;2017-07-12;Generalized Mersenne Prime.;incollection;1
reference/crypt/BlakleyK05;2017-07-12;Secret Sharing Schemes.;incollection;2
reference/crypt/Sherr11;2017-07-12;Eavesdropping.;incollection;1
reference/crypt/Paar05;2017-07-12;Exponentiation Algorithms.;incollection;1
reference/crypt/X11mh;2017-07-12;Speaker Identification and Verification (SIV).;incollection;0
reference/crypt/Caddy05;2017-07-12;Common Criteria.;incollection;1
reference/crypt/Adams05i;2017-07-12;Entitlements Management.;incollection;1
reference/crypt/Fontaine05g;2017-07-12;Self-Synchronizing Stream Cipher.;incollection;1
reference/crypt/Vimercati11f;2017-07-12;Privacy-Aware Access Control Policies.;incollection;1
reference/crypt/X11lo;2017-07-12;Secure Wireless Multicast.;incollection;0
reference/crypt/Desmedt11e;2017-07-12;Knapsack Cryptographic Schemes.;incollection;1
reference/crypt/X11gx;2017-07-12;LCM.;incollection;0
reference/crypt/X11s;2017-07-12;Antispam Based on Sender Reputation.;incollection;0
reference/crypt/Nguyen11;2017-07-12;Index Calculus Method.;incollection;1
reference/crypt/X11cj;2017-07-12;Cryptographic Protocol.;incollection;0
reference/crypt/HankersonM11l;2017-07-12;Pairings.;incollection;2
reference/crypt/HaberM11;2017-07-12;Time-Stamping.;incollection;2
reference/crypt/Caddy11d;2017-07-12;Random Number Testing.;incollection;1
reference/crypt/ArdagnaD11;2019-12-27;Script Language Security.;incollection;2
reference/crypt/HankersonM11c;2017-07-12;Elliptic Curve Key Agreement Schemes.;incollection;2
reference/crypt/X11gg;2017-07-12;Interception.;incollection;0
reference/crypt/X11ok;2017-07-12;Web Session Security.;incollection;0
reference/crypt/Videau11b;2017-07-12;eSTREAM.;incollection;1
reference/crypt/Naccache11g;2017-07-12;Monotone Signatures.;incollection;1
reference/crypt/Schoenmakers05h;2017-07-12;Witness Hiding.;incollection;1
reference/crypt/X11hm;2017-07-12;Memory and State Exhaustion DoS.;incollection;0
reference/crypt/X11lv;2017-07-12;Shamir's Trick.;incollection;0
reference/crypt/Paar11b;2017-07-12;Optimal Extension Fields (OEFs).;incollection;1
reference/crypt/Adams11h;2017-07-12;One Time Password, from a Key Management Perspective.;incollection;1
reference/crypt/Kaliski11o;2017-07-12;Hard-Core Bit.;incollection;1
reference/crypt/GrandisonL11;2017-07-12;Hippocratic Database.;incollection;2
reference/crypt/Desmedt11i;2017-07-12;Threshold Cryptography.;incollection;1
reference/crypt/Knudsen05;2017-07-12;Block ciphers.;incollection;1
reference/crypt/Krawczyk11;2017-07-12;Perfect Forward Secrecy.;incollection;1
reference/crypt/Blundo11;2017-07-12;Private Information Retrieval.;incollection;1
reference/crypt/Adams05r;2017-07-12;Replay Attack.;incollection;1
reference/crypt/X11go;2017-07-12;Key Life Cycle Management.;incollection;0
reference/crypt/Wiener11;2017-07-12;Exhaustive Key Search.;incollection;1
reference/crypt/Contini05c;2017-07-12;Modulus.;incollection;1
reference/crypt/Biryukov05p;2017-07-12;Known plaintext attack.;incollection;1
reference/crypt/SarkarL11;2017-07-12;Gait Recognition.;incollection;2
reference/crypt/Boneh11j;2017-07-12;Strong RSA Assumption.;incollection;1
reference/crypt/Biryukov05xc;2017-07-12;Weak keys.;incollection;1
reference/crypt/Paulus05;2017-07-12;Sieving in Function Fields.;incollection;1
reference/crypt/Preneel05b;2017-07-12;Collision resistance.;incollection;1
reference/crypt/Cock11;2017-07-12;X.509.;incollection;1
reference/crypt/HankersonM05a;2017-07-12;Elliptic Curve.;incollection;2
reference/crypt/CampisiN11;2019-10-31;Keystroke Dynamics.;incollection;2
reference/crypt/X11ja;2017-07-12;Packet Flooding Attack.;incollection;0
reference/crypt/X11p;2017-07-12;Anthropometry.;incollection;0
reference/crypt/BrassardC05;2017-07-12;Quantum Cryptography.;incollection;2
reference/crypt/Huth11;2017-07-12;Formal Methods and Access Control.;incollection;1
reference/crypt/Canniere05e;2017-07-12;Interpolation Attack.;incollection;1
reference/crypt/X11il;2017-07-12;NFS.;incollection;0
reference/crypt/X11nm;2017-07-12;Tripartite Key Exchange.;incollection;0
reference/crypt/Naccache11o;2017-07-12;von Neumann Correction.;incollection;1
reference/crypt/X11ku;2017-07-12;Ron's Code 5.;incollection;0
reference/crypt/KocW05;2017-07-12;Montgomery Arithmetic.;incollection;2
reference/crypt/Landrock05x;2017-07-12;X.509.;incollection;1
reference/crypt/Schneier05;2017-07-12;Solitaire.;incollection;1
reference/crypt/Gabillon11;2017-07-12;Web Access Control Strategies.;incollection;1
reference/crypt/Bleumer05y;2017-07-12;Random Oracle Model.;incollection;1
reference/crypt/X11hl;2017-07-12;Measurement Models of Software Security.;incollection;0
reference/crypt/Paar05a;2017-07-12;Inversion in Finite Fields and Rings.;incollection;1
reference/crypt/X11dx;2017-07-12;Euclid's Algorithm.;incollection;0
reference/crypt/Desmedt05d;2017-07-12;Fiat-Shamir Identification Protocol And The Fiat-Shamir Signature Scheme.;incollection;1
reference/crypt/Fontaine11b;2017-07-12;Linear Congruential Generator.;incollection;1
reference/crypt/Zuccherato11b;2017-07-12;Identity Verification Protocol.;incollection;1
reference/crypt/Bauer05h;2017-07-12;Cæsar cipher.;incollection;1
reference/crypt/Chen11;2017-07-12;Iris.;incollection;1
reference/crypt/BargK05;2017-07-12;Fingerprinting.;incollection;2
reference/crypt/X11nv;2017-07-12;Virtualized Packer.;incollection;0
reference/crypt/CallasNO11;2017-07-12;Practical E-Cash.;incollection;3
reference/crypt/Koeune11;2017-07-12;Pseudorandom Number Generator.;incollection;1
reference/crypt/Naccache11h;2017-07-12;Multiplicative Knapsack Cryptosystem.;incollection;1
reference/crypt/Caddy11c;2017-07-12;Penetration Testing.;incollection;1
reference/crypt/AvanziT11b;2017-07-12;Hyperelliptic Curves Performance.;incollection;2
reference/crypt/X11kq;2017-07-12;Residue Arithmetic.;incollection;0
reference/crypt/X11ac;2017-07-12;Base.;incollection;0
reference/crypt/X11is;2017-07-12;Nucleic Acid.;incollection;0
reference/crypt/Eddy11a;2017-07-12;SYN Flood Attack.;incollection;1
reference/crypt/Kaliski05r;2017-07-12;Irreducible Polynomial.;incollection;1
reference/crypt/Naccache11;2017-07-12;Autotomic Signatures.;incollection;1
reference/crypt/Bauer11e;2017-07-12;Crypto Machines.;incollection;1
reference/crypt/Desmedt11f;2017-07-12;Man-in-the-Middle Attack.;incollection;1
reference/crypt/Moller05d;2017-07-12;Sliding Window Exponentiation.;incollection;1
reference/crypt/Mantel11;2017-07-12;Information Flow and Noninterference.;incollection;1
reference/crypt/X11of;2017-07-12;Web Client Security and Privacy.;incollection;0
reference/crypt/Biryukov05e;2017-07-12;Chosen Plaintext and Chosen Ciphertext Attack.;incollection;1
reference/crypt/KnudsenL11;2019-10-19;C2 - Block Cipher.;incollection;2
reference/crypt/Stiglic11c;2017-07-12;Prime Generation.;incollection;1
reference/crypt/X11i;2017-07-12;Algebraic Number Field.;incollection;0
reference/crypt/X11md;2017-07-12;Software-Based Attestation.;incollection;0
reference/crypt/HankersonM05e;2017-07-12;Elliptic Curve Keys.;incollection;2
reference/crypt/X11dv;2017-07-12;Escrow Service.;incollection;0
reference/crypt/BlakleyK11;2017-07-12;Secret Sharing Schemes.;incollection;2
reference/crypt/HankersonM05h;2017-07-12;Elliptic Curve Signature Schemes.;incollection;2
reference/crypt/X11jx;2017-07-12;Public Exponent.;incollection;0
reference/crypt/Bleumer11i;2017-07-12;Designated Confirmer Signature.;incollection;1
reference/crypt/X11ds;2017-07-12;ePassport Security.;incollection;0
reference/crypt/Bauer11d;2017-07-12;Cryptanalysis.;incollection;1
reference/crypt/Kaliski05xc;2017-07-12;Quadratic Residue.;incollection;1
reference/crypt/CampisiMMVN11;2019-10-31;Handwriting Analysis.;incollection;5
reference/crypt/Desmedt05a;2017-07-12;Covert Channels.;incollection;1
reference/crypt/Just05d;2017-07-12;Schnorr Indentification Scheme.;incollection;1
reference/crypt/LandrockC11;2017-07-12;PKCS.;incollection;2
reference/crypt/Biryukov11h;2017-07-12;Codebook Attack.;incollection;1
reference/crypt/X11al;2017-07-12;Biometric Fusion.;incollection;0
reference/crypt/Pointcheval11b;2017-07-12;RSA Public-Key Encryption.;incollection;1
reference/crypt/Bauer05o;2017-07-12;Porta Encryption.;incollection;1
reference/crypt/Kaliski05m;2017-07-12;Finite Field.;incollection;1
reference/crypt/KangS11a;2017-07-12;Spam Detection Using Network-Level Characteristics.;incollection;2
reference/crypt/VimercatiL11a;2017-07-12;Privileges in SQL.;incollection;2
reference/genetic/SamuiDJ15;2019-10-19;Site Characterization Using GP, MARS and GPR.;incollection;3
reference/genetic/Langdon15;2017-07-12;Genetically Improved Software.;incollection;1
reference/genetic/LeitaoM15;2017-07-12;Mate Choice in Evolutionary Computation.;incollection;2
reference/genetic/VyasGT15;2017-07-12;Genetic Programming Applications in Chemical Sciences and Engineering.;incollection;3
reference/genetic/VahdatMMHZ15;2017-07-12;Evolving GP Classifiers for Streaming Data Tasks with Concept Change and Label Budgets: A Benchmarking Study.;incollection;5
reference/genetic/DeniziakCP15;2020-10-26;Design of Real-Time Computer-Based Systems Using Developmental Genetic Programming.;incollection;3
reference/genetic/MaityC15;2017-07-12;Potential of Genetic Programming in Hydroclimatic Prediction of Droughts: An Indian Perspective.;incollection;2
reference/genetic/Shahin15;2020-10-26;Genetic Programming for Modelling of Geotechnical Engineering Systems.;incollection;1
reference/genetic/RoyRR15;2020-10-30;Application of GFA-MLR and G/PLS Techniques in QSAR/QSPR Studies with Application in Medicinal Chemistry and Predictive Toxicology.;incollection;3
reference/genetic/MachadoCA15;2018-11-02;Graph-Based Evolutionary Art.;incollection;3
reference/genetic/LunaCV15;2018-11-02;Genetic Programming for Mining Association Rules in Relational Database Environments.;incollection;3
reference/genetic/Fallah-MehdipourH15;2017-08-24;Application of Genetic Programming in Hydrology.;incollection;2
reference/genetic/2015;2020-03-27;Handbook of Genetic Programming Applications;proceedings;0
reference/genetic/Babanajad15;2017-07-12;Application of Genetic Programming for Uniaxial and Multiaxial Modeling of Concrete.;incollection;1
reference/genetic/ZahiriDA15;2020-10-26;Application of Gene-Expression Programming in Hydraulic Engineering.;incollection;3
reference/genetic/MousaviARF15;2020-10-26;On the Application of Genetic Programming for New Generation of Ground Motion Prediction Equations.;incollection;4
reference/genetic/HussainACJ15;2019-10-19;A New Evolutionary Approach to Geotechnical and Geo-Environmental Modelling.;incollection;4
reference/genetic/RyanFKM15;2019-10-19;Image Classification with Genetic Programming: Building a Stage 1 Computer Aided Detector for Breast Cancer.;incollection;4
reference/genetic/Korns15;2017-07-12;Trading Volatility Using Highly Accurate Symbolic Regression.;incollection;1
reference/genetic/EsfahaniD15;2017-07-12;Use of Genetic Programming Based Surrogate Models to Simulate Complex Geochemical Transport Processes in Contaminated Mine Sites.;incollection;2
reference/genetic/Searson15;2017-07-12;GPTIPS 2: An Open-Source Software Platform for Symbolic Data Mining.;incollection;1
reference/genetic/RibeiroNVZ15;2018-11-02;eCrash: a Genetic Programming-Based Testing Tool for Object-Oriented Software.;incollection;4
reference/genetic/HosseiniN15;2017-07-12;Application of Genetic Programming for Electrical Engineering Predictive Modeling: A Review.;incollection;2
reference/genetic/MuduliD15;2017-09-16;Evaluation of Liquefaction Potential of Soil Based on Shear Wave Velocity Using Multi-Gene Genetic Programming.;incollection;2
reference/assisted/Sixsmith12;2017-05-16;Gerontological Perspectives on Ambient Assisted Living.;incollection;1
reference/assisted/DoukasPM12;2017-05-16;Utilization of Cloud Infrastructures for Pervasive Healthcare Applications.;incollection;3
reference/assisted/Huch12;2017-05-16;Preparation and Start-Up Phase of the European AAL Joint Programme.;incollection;1
reference/assisted/YanguasU12;2017-05-16;Housing, Gerontology and AAL: New Services Development.;incollection;2
reference/assisted/JohnKS12;2017-05-16;Innovative Rehabilitation Technologies for Home Environments - An Overview.;incollection;3
reference/assisted/ChauMLTHWLP12;2020-04-02;Home-Based Computer Vision Access Technologies for Individuals with Severe Motor Impairments.;incollection;8
reference/assisted/DoJ12;2017-05-16;Happy Healthy Home.;incollection;2
reference/assisted/Roberts12;2017-05-16;AAL in the Health Space - A Reflection.;incollection;1
reference/assisted/BhachuHW12;2017-05-16;The Role of Assistive Technology in Supporting Formal Carers.;incollection;3
reference/assisted/Wichert12;2017-05-16;Introduction to Section on AAL for Rehabilitation.;incollection;1
reference/assisted/TazariFFHHKMWW12;2017-05-16;The universAAL Reference Model for AAL.;incollection;9
reference/assisted/Mestheneos12;2017-05-16;New Ambient Assistive Technologies: The Users' Perspectives.;incollection;1
reference/assisted/Augusto12;2017-05-16;Smart Homes as a Vehicle for AAL.;incollection;1
reference/assisted/ObachBLMAIMRP12;2017-05-16;R&D Projects Related to AAL in TECNALIA's Health Technologies Unit.;incollection;9
reference/assisted/Gentry12;2017-05-16;Smart Home Technologies for People with Cognitive Impairment: An Affordable, Rehabilitative Approach.;incollection;1
reference/assisted/AugustoM12;2017-05-16;Introduction to Section on Future Developments and Visions for the AAL Area.;incollection;2
reference/assisted/MacGinnis12;2017-05-16;The National Health Service in England - Moving to Mainstream Use of Ambient Assisted Living Technology.;incollection;1
reference/assisted/Modi12;2017-05-16;Biometrics in Healthcare - A Research Overview.;incollection;1
reference/assisted/MihailidisBCJH12;2017-05-16;Ambient Assisted Living Technology to Support Older Adults with Dementia with Activities of Daily Living: Key Concepts and the State of the Art.;incollection;5
reference/assisted/Sakamura12;2017-05-16;Smart Living Environment: Ubiquitous Computing Approach Based on TRON Architecture.;incollection;1
reference/assisted/LeeH12;2017-05-16;Study on Future Trend of the Elderly Care from the Aspect of Assistive Technology Rental System in Japan.;incollection;2
reference/assisted/RoblesGBOM12;2017-05-16;Social Spaces for Reseach and Innovation (SSRI): Users Leading Research and Innovation in Ambient Assisted Living.;incollection;5
reference/assisted/AgrafiotiBH12;2019-10-14;Medical Information Management with ECG Biometrics: A Secure and Effective Framework.;incollection;3
reference/assisted/PrendergastSW12;2018-02-26;Connecting Communities: The Role of Design Ethnography in Developing Social Care Technologies for Isolated Older Adults.;incollection;3
reference/assisted/BalaschSCJHPEKKHWHSGJSMLBZMBFSKWBKM12;2017-05-16;SmartSenior - Intelligent Services for Senior Citizens.;incollection;2,9
reference/assisted/DrosouT12;2017-05-16;Biometric Monitoring of Behaviour.;incollection;2
reference/assisted/Marin-PerianuGBMH12;2017-05-16;Managing Chronic Conditions Using Wireless Sensor Networks.;incollection;5
reference/assisted/MartinM12;2017-05-16;Delivering Technology Enriched Health and Social Care: Policy Context for User Focused Research.;incollection;2
reference/assisted/Hodgins12;2017-05-16;Gait Profile - A Biometric that Defines Our Mobility.;incollection;1
reference/assisted/OKaneOGACC12;2017-05-16;Electronic-Early Warning Scorecard: An Intelligent Context Aware Decision Making Approach for Patient Monitoring.;incollection;6
reference/assisted/FrancoMM12;2017-05-16;Face Recognition in Ambient Intelligence Applications.;incollection;3
reference/assisted/DeitersKKM12;2017-06-09;ICT Infrastructures for Telerehabilitation.;incollection;4
reference/assisted/CookH12;2017-05-16;Sensor Selection to Support Practical Use of Health-Monitoring Smart Environments.;incollection;2
reference/assisted/LhotskaDCHBH12;2020-06-15;Beyond System Integration: Who, What, How, and When.;incollection;6
reference/assisted/CavallaroMGRRG12;2018-11-02;Growing Older Together: When a Robot Becomes the Best Ally for Ageing Well.;incollection;6
reference/assisted/WadeP12;2017-05-16;Assisted Ambient Living Applied to Remote Motor Rehabilitation.;incollection;2
reference/assisted/McCullagh12;2017-05-16;Devices and Infrastructure to Facilitate AAL.;incollection;1
reference/assisted/FarshchianHMR12;2017-05-16;AAL Technologies in Rehabilitation - Lessons Learned from a COPD Case Study.;incollection;4
reference/assisted/FloeckLS12;2017-05-16;Monitoring Patterns of Inactivity in the Home with Domotics Networks.;incollection;3
reference/assisted/DrobicsDGS12;2017-05-16;LiKeIT - RFID-Based KeepInTouch Lifestyle Monitoring.;incollection;4
reference/assisted/WildB12;2017-05-16;In-Home Monitoring Technologies: Perspectives and Priorities of Older Adults.;incollection;2
reference/assisted/2012;2012-03-28;Handbook of Ambient Assisted Living - Technology for Healthcare, Rehabilitation and Well-being;book;0
reference/assisted/MeyerMK12;2017-05-16;AAL Markets - Knowing Them, Reaching Them. Evidence from European Research.;incollection;3
reference/assisted/NakajimaK12;2017-05-16;Designing Ambient and Personalised Displays to Encourage Healthier Lifestyles.;incollection;2
reference/assisted/Zayas-CabanM12;2017-05-16;Using Human Factors to Guide the Design and Implementation of Consumer Health Informatics Interventions.;incollection;2
reference/assisted/TanCR12;2020-03-27;Adaptive Neck Support for Wellbeing During Air Travel.;incollection;3
reference/assisted/MullerLEHBWH12;2017-05-16;AAL in Cardiac Rehabilitation.;incollection;7
reference/assisted/PavelCD12;2017-05-16;Supporting Wellbeing Through Improving Interactions and Understanding in Self-Monitoring Systems.;incollection;3
reference/assisted/LaiT12;2017-05-16;Telehealthcare Development & Effectiveness in Taiwan.;incollection;2
reference/assisted/KearnsF12;2017-06-09;Tracking Natural Human Movements Identifies Differences in Cognition and Health.;incollection;2
reference/social/PuzisTE10;2017-06-09;Optimizing Targeting of Intrusion Detection Systems in Social Networks.;incollection;3
reference/social/LinSK10;2019-10-19;Multi-Relational Characterization of Dynamic Social Network Communities.;incollection;3
reference/social/DattaBVSR10;2017-05-16;Decentralized Online Social Networks.;incollection;5
reference/social/FernandezML10;2019-10-19;Security Requirements for Social Networks in Web 2.0.;incollection;3
reference/social/SimoesM10;2017-05-16;Understanding and Predicting Human Behavior for Social Communities.;incollection;2
reference/social/AidaK10;2017-05-16;Structure and Dynamics of Social Networks Revealed by Data Analysis of Actual Communication Services.;incollection;2
reference/social/SinghBM10;2017-05-16;Perspectives on Social Network Analysis for Observational Scientific Data.;incollection;3
reference/social/MaheswaranAOL10;2017-05-16;Online Identities and Social Networking.;incollection;4
reference/social/LeungL10;2017-05-16;Concept Discovery in Youtube.com Using Factorization Method.;incollection;2
reference/social/ChoudhurySJS10;2019-10-19;Analyzing the Dynamics of Communication in Online Social Networks.;incollection;4
reference/social/Zhang10;2017-05-16;Social Network Analysis: History, Concepts, and Research.;incollection;1
reference/social/JungCP10;2017-05-16;Discovering Mobile Social Networks by Semantic Technologies.;incollection;3
reference/social/Thilagam10;2017-05-16;Applications of Social Network Analysis.;incollection;1
reference/social/Yager10;2017-05-16;Associating Human-Centered Concepts with Social Networks Using Fuzzy Sets.;incollection;1
reference/social/ChenY10;2017-05-16;Visualization of Social Networks.;incollection;2
reference/social/Sik-Lanyi10;2017-05-16;Accessibility Testing of Social Websites.;incollection;1
reference/social/CutilloMS10;2017-05-16;Security and Privacy in Online Social Networks.;incollection;3
reference/social/SizovSF10;2017-05-16;Analysis of Social Networks by Tensor Decomposition.;incollection;3
reference/social/BhuiyanJX10;2017-05-16;Managing Trust in Online Social Networks.;incollection;3
reference/social/MitraB10;2017-05-16;Modeling Temporal Variation in Social Network: An Evolutionary Web Graph Approach.;incollection;2
reference/social/RicheF10;2017-05-16;Novel Visualizations and Interactions for Social Networks Exploration.;incollection;2
reference/social/SlaninovaMDOS10;2019-09-25;Analysis of Social Networks Extracted from Log Files.;incollection;5
reference/social/BagherjeiranBPC10;2017-05-16;Online Advertising in Social Networks.;incollection;4
reference/social/ZivW10;2017-05-16;Social Bookmarking on a Company's Intranet: A Study of Technology Adoption and Diffusion.;incollection;2
reference/social/MelendezWAR10;2017-05-16;Qualitative Analysis of Commercial Social Network Profiles.;incollection;4
reference/social/Murata10;2017-05-16;Detecting Communities in Social Networks.;incollection;1
reference/social/YangLL10;2019-06-02;Discovering Communities from Social Networks: Methodologies and Applications.;incollection;3
reference/social/KarnstedtHCBHS10;2017-05-16;Churn in Social Networks.;incollection;6
reference/social/YanaiQ10;2017-05-16;Mining Regional Representative Photos from Consumer-Generated Geotagged Photos.;incollection;2
reference/social/Hussain10;2017-05-16;Investigation of Key-Player Problem in Terrorist Networks Using Bayes Conditional Probability.;incollection;1
reference/social/HernandoBS10;2017-05-16;Collaborative Filtering Based on Choosing a Different Number of Neighbors for Each User.;incollection;3
reference/social/2010;2019-06-26;Handbook of Social Network Technologies and Applications;book;0
reference/ubiqhandbook/Austaller08;2011-01-20;Service Discovery.;incollection;1
reference/ubiqhandbook/Lyardet08;2011-01-20;Ambient Learning.;incollection;1
reference/ubiqhandbook/Schnelle08;2011-01-20;Mobile Speech Recognition.;incollection;1
reference/ubiqhandbook/Malaka08;2011-01-20;Intelligent User Interfaces for Ubiquitous Computing.;incollection;1
reference/ubiqhandbook/Schnelle08a;2011-01-20;Mouth and Ear Interaction.;incollection;1
reference/ubiqhandbook/Aitenbichler08;2011-01-20;Event-Based and Publish/Subscribe Communication.;incollection;1
reference/ubiqhandbook/Ries08;2011-01-20;Trust and Accountability.;incollection;1
reference/ubiqhandbook/StraubH08;2011-01-20;Security for Ubiquitous Computing.;incollection;2
reference/ubiqhandbook/Hartl08;2011-01-20;Multimodal Software Engineering.;incollection;1
reference/ubiqhandbook/WeberH08;2012-12-15;Advanced Hands and Eyes Interaction.;incollection;2
reference/ubiqhandbook/RaiyaniW08;2011-01-20;Multimodal Warehouse Project.;incollection;2
reference/ubiqhandbook/HartmannA08;2011-01-20;Context Models and Context Awareness.;incollection;2
reference/ubiqhandbook/Schiller08;2011-01-20;Wireless and Mobile Communications.;incollection;1
reference/ubiqhandbook/OberleBA08;2011-01-20;Ontologies for Scalable Services-Based Ubiquitous Computing.;incollection;3
reference/ubiqhandbook/2008;2017-06-09;Handbook of Research on Ubiquitous Computing Technology for Real Time Enterprises;book;0
reference/ubiqhandbook/Gerteis08;2011-01-20;Business Grids.;incollection;1
reference/ubiqhandbook/Nochta08;2011-01-20;Smart Items in Real Time Enterprises.;incollection;1
reference/ubiqhandbook/AnkeWHDNK08;2011-02-24;PROMISE.;incollection;6
reference/ubiqhandbook/JamesG08;2011-01-20;Multimodal and Federated Interaction.;incollection;2
reference/ubiqhandbook/Aitenbichler08a;2011-01-20;A Focus on Location Context.;incollection;1
reference/ubiqhandbook/Heinemann08;2011-01-20;Opportunistic Networks.;incollection;1
reference/ubiqhandbook/SpiessM08;2013-07-17;CoBIs.;incollection;2
reference/ubiqhandbook/Jost08;2011-01-20;Adapting to the User.;incollection;1
reference/ubiqhandbook/Kangasharju08;2011-01-20;Peer-to-Peer Systems.;incollection;1
reference/ubiqhandbook/LotzCW08;2016-11-30;Towards Adaptive Security for Ubiquitous Computing Systems.;incollection;3
reference/ubiqhandbook/Limberger08;2011-01-20;Bionics.;incollection;1
